ID,sample_idx,ax,ay,az,gx,gy,gz
28,1,360,-3488,-17160,-92,-31,-864
28,2,1092,-336,-17332,127,-35,-2732
28,3,2076,220,-16360,45,-108,-1990
28,4,1860,1588,-16760,-13,-41,-1192
28,5,556,1956,-17684,53,146,-1246
28,6,172,656,-16240,399,5,21
28,7,-744,784,-16076,-5,-143,480
28,8,288,-480,-17044,146,-79,1468
28,9,-1784,-396,-17176,-14,35,1617
29,0,88,-296,-16988,-188,312,-167
29,1,-964,-604,-16944,-44,-69,-903
29,2,-660,-296,-16692,144,-256,-1450
29,3,-348,164,-17496,97,-22,-1135
29,4,-300,972,-16324,-43,-53,-467
29,5,252,1500,-17292,-125,-17,765
29,6,1360,156,-17076,-110,-143,2245
29,7,1192,-2324,-16988,35,70,2869
29,8,724,-1644,-17544,-14,58,2245
29,9,1512,-3144,-17080,113,-62,1226
30,0,36,-736,-17032,56,-64,-960
30,1,96,-212,-17040,49,-72,-67
30,2,600,-2928,-16836,279,-109,-596
30,3,832,-636,-17072,-52,-102,-1841
30,4,932,160,-16416,-72,-49,-2241
30,5,1120,484,-16396,333,-201,-1710
30,6,-760,1828,-17252,142,-95,-685
30,7,964,-848,-17112,23,45,1102
30,8,-532,-104,-17892,243,-153,1018
30,9,-1264,-612,-16716,-171,-262,34
31,0,-2444,636,-17048,137,-11,583
31,1,-1240,-196,-17024,75,-60,-36
31,2,36,-224,-16972,73,-19,-118
31,3,712,1904,-16976,-48,-4,291
31,4,-40,1792,-17244,50,-8,2533
31,5,-1244,988,-17084,-185,128,2025
31,6,-836,-1540,-16956,192,-228,2959
31,7,-64,-2180,-16968,-25,-76,886
31,8,-388,-1968,-16592,-100,227,-22
31,9,-996,-820,-17212,142,-479,385
32,0,-696,-624,-16784,-38,-6,1068
32,1,-732,4,-17116,90,242,-413
32,2,16,300,-16856,66,75,681
32,3,68,-568,-16684,-215,-52,-220
32,4,-1080,272,-16908,122,-192,-604
32,5,1116,-112,-17020,17,-97,52
32,6,2588,292,-17244,93,-183,-486
32,7,7012,1568,-16560,180,-248,122
32,8,216,68,-16924,43,-32,623
32,9,1452,-228,-17088,111,-100,73
33,0,1320,-236,-16904,78,-133,-275
33,1,932,172,-16896,339,-231,-444
33,2,440,-408,-17096,-101,-409,-595
33,3,-152,-1348,-17360,-58,-140,-2424
33,4,-1392,-728,-16856,98,185,-2984
33,5,-1660,524,-16596,111,-214,-2010
33,6,96,-296,-17044,9,-5,15
33,7,132,-108,-16972,67,-89,-79
33,8,212,-204,-16988,63,-81,-67
33,9,-248,-2116,-16872,23,-22,1929
34,0,592,-2168,-17200,26,-116,-1301
34,1,348,-528,-17972,20,-44,-2408
34,2,-324,1480,-16412,-212,-108,-1566
34,3,-108,-344,-16648,45,42,-2088
34,4,600,232,-16820,309,-67,-889
34,5,220,220,-17148,41,-109,-912
34,6,-1184,4100,-17012,137,-159,-1505
34,7,112,860,-16944,69,31,235
34,8,124,1844,-17336,-145,-34,1449
34,9,-92,304,-17284,-280,116,2927
35,0,244,-1448,-16976,96,-109,1837
35,1,224,-272,-16748,293,-81,971
35,2,-712,-8,-17044,111,90,530
35,3,-1124,-1080,-16624,-152,41,788
35,4,-172,8,-17152,-4,-123,-214
35,5,-1616,616,-16588,254,-334,1901
35,6,-916,-896,-17500,-99,-143,2565
35,7,92,-1844,-17036,123,-132,1555
35,8,2128,-2044,-17520,121,25,-503
35,9,1180,-1344,-16732,-83,-83,-1106
36,0,868,-1108,-16744,-159,-121,-1062
36,1,1356,-516,-17016,128,-225,-3470
36,2,672,1372,-16536,59,-258,-1478
36,3,224,1716,-16944,78,-19,226
36,4,152,424,-17144,-5,-115,290
36,5,-160,1812,-17208,8,-132,-1076
36,6,-1780,2908,-16768,46,15,223
36,7,-1604,532,-16928,-147,-53,2602
36,8,-1340,68,-17168,-109,13,3083
36,9,-180,-148,-16516,101,123,2682
37,0,1348,-1172,-16900,32,-157,887
37,1,1304,-1192,-16960,118,-18,-440
37,2,284,-1352,-16684,72,-113,-2025
37,3,1184,-436,-17088,-24,206,-3714
37,4,276,420,-16668,225,-34,-1369
37,5,-864,460,-17496,-92,-59,-839
37,6,-1132,228,-16812,-22,-417,-1820
37,7,-2252,-824,-16840,7,-93,-846
37,8,-2628,364,-16840,-20,12,557
37,9,-1312,-256,-17144,145,-261,2261
38,0,-1264,-544,-16812,149,-97,-1108
38,1,80,160,-16836,52,-192,-478
38,2,-100,-824,-16492,-197,242,-865
38,3,-1096,-188,-16188,182,-209,-37
38,4,-1008,-828,-17276,-157,-162,483
38,5,-524,272,-16996,364,194,767
38,6,880,876,-16536,148,-145,89
38,7,1744,-48,-16904,330,-27,-158
38,8,416,-736,-17216,23,-76,473
38,9,1176,-1500,-16772,85,-114,-435
39,0,260,-216,-16876,-84,132,-733
39,1,160,-248,-17552,102,4,-2511
39,2,512,-468,-15828,198,-131,-2532
39,3,-268,712,-16936,-12,-128,-1450
39,4,-8,-320,-16632,667,-38,-2420
39,5,220,36,-16832,182,-12,-2575
39,6,-260,312,-16892,-130,-80,-2049
39,7,-1116,3440,-16840,137,-67,-2185
39,8,-976,3440,-17160,113,-5,-143
39,9,-388,2008,-16464,265,87,1149
40,0,676,52,-16800,75,47,2337
40,1,304,-880,-17464,269,-111,1917
40,2,-320,-840,-17444,108,-102,2344
40,3,328,-1272,-16452,-24,-301,2716
40,4,428,-1564,-17216,-109,-4,1475
40,5,488,-3900,-16932,66,-62,1776
40,6,460,-2976,-16616,298,-139,-1099
40,7,320,-1508,-16692,265,-403,-3314
40,8,940,-204,-16932,357,-452,-3392
40,9,732,1088,-17392,-123,-5,-3187
41,0,832,1020,-16408,184,-147,-3116
41,1,-300,1644,-16248,61,-116,-1194
41,2,-1424,1560,-17148,215,14,1174
41,3,-1704,504,-16892,39,111,2884
41,4,-1176,-208,-17092,-160,24,3173
41,5,108,576,-17168,-132,-261,2938
